exp_ID,sim file,crop file,site file,climate file,species params,cv params,position in rotation *,crop ID (as in crop.json),"*separate with ""-"" if the crop has more than one position"
13,sim-13.json,crop-13.json,site-eradu-2010.json,Eradu2010.met,wheat.json,spring-wheat.json,0,SW,
14,sim-14.json,crop-14.json,site-eradu-2010.json,Eradu2010.met,wheat.json,spring-wheat.json,0,SW,
15,sim-15.json,crop-15.json,site-eradu-2010.json,Eradu2010.met,wheat.json,spring-wheat.json,0,SW,
16,sim-16.json,crop-16.json,site-eradu-2011.json,Eradu2011.met,wheat.json,spring-wheat.json,0,SW,
17,sim-17.json,crop-17.json,site-eradu-2011.json,Eradu2011.met,wheat.json,spring-wheat.json,0,SW,
18,sim-18.json,crop-18.json,site-eradu-2011.json,Eradu2011.met,wheat.json,spring-wheat.json,0,SW,
23,sim-23.json,crop-23.json,site-lake_bolac-2010.json,LakeBolac2010.met,wheat.json,spring-wheat.json,0,SW,
24,sim-24.json,crop-24.json,site-lake_bolac-2010.json,LakeBolac2010.met,wheat.json,spring-wheat.json,0,SW,
25,sim-25.json,crop-25.json,site-lake_bolac-2011.json,LakeBolac2011.met,wheat.json,spring-wheat.json,0,SW,
26,sim-26.json,crop-26.json,site-lake_bolac-2011.json,LakeBolac2011.met,wheat.json,spring-wheat.json,0,SW,
27,sim-27.json,crop-27.json,site-lake_bolac-2011.json,LakeBolac2011.met,wheat.json,spring-wheat.json,0,SW,
28,sim-28.json,crop-28.json,site-minnipa-2010.json,Minnipa2010.met,wheat.json,spring-wheat.json,0,SW,
29,sim-29.json,crop-29.json,site-minnipa-2010.json,Minnipa2010.met,wheat.json,spring-wheat.json,0,SW,
30,sim-30.json,crop-30.json,site-minnipa-2010.json,Minnipa2010.met,wheat.json,spring-wheat.json,0,SW,
31,sim-31.json,crop-31.json,site-minnipa-2011.json,Minnipa2011.met,wheat.json,spring-wheat.json,0,SW,
32,sim-32.json,crop-32.json,site-minnipa-2011.json,Minnipa2011.met,wheat.json,spring-wheat.json,0,SW,
33,sim-33.json,crop-33.json,site-minnipa-2011.json,Minnipa2011.met,wheat.json,spring-wheat.json,0,SW,
40,sim-40.json,crop-40.json,site-spring_ridge-2010.json,SpringRidge2010.met,wheat.json,spring-wheat.json,0,SW,
41,sim-41.json,crop-41.json,site-spring_ridge-2010.json,SpringRidge2010.met,wheat.json,spring-wheat.json,0,SW,
42,sim-42.json,crop-42.json,site-spring_ridge-2010.json,SpringRidge2010.met,wheat.json,spring-wheat.json,0,SW,
43,sim-43.json,crop-43.json,site-spring_ridge-2011.json,SpringRidge2011.met,wheat.json,spring-wheat.json,0,SW,
44,sim-44.json,crop-44.json,site-spring_ridge-2011.json,SpringRidge2011.met,wheat.json,spring-wheat.json,0,SW,
45,sim-45.json,crop-45.json,site-spring_ridge-2011.json,SpringRidge2011.met,wheat.json,spring-wheat.json,0,SW,
